Strike,Bid,Midpoint,Ask,Last,AVGIV,IV,Type
25,39.7,39.85,40,48.45,0.3377,0.9613,Call
27.5,37.3,37.43,37.55,38.5,0.3377,1.0030,Call
30,34.85,34.95,35.05,33.72,0.3377,0.9164,Call
32.5,32.4,32.5,32.6,31.1,0.3377,0.8671,Call
35,29.9,30.03,30.15,30.63,0.3377,0.7882,Call
37.5,27.45,27.55,27.65,26.03,0.3377,0.7139,Call
40,24.95,25.08,25.2,23.96,0.3377,0.6435,Call
42.5,22.5,22.63,22.75,20.2,0.3377,0.5940,Call
45,20.1,20.2,20.3,19.95,0.3377,0.5552,Call
47.5,17.65,17.75,17.85,17.7,0.3377,0.4995,Call
50,15.3,15.38,15.45,14.72,0.3377,0.4686,Call
52.5,12.95,13.02,13.1,10.5,0.3377,0.4336,Call
55,10.65,10.7,10.75,10.9,0.3377,0.3939,Call
57.5,8.5,8.55,8.6,8.37,0.3377,0.3722,Call
60,6.55,6.6,6.65,6.73,0.3377,0.3573,Call
62.5,4.85,4.9,4.95,4.9,0.3377,0.3465,Call
65,3.45,3.5,3.55,3.5,0.3377,0.3397,Call
67.5,2.38,2.4,2.41,2.33,0.3377,0.3343,Call
70,1.58,1.59,1.6,1.62,0.3377,0.3324,Call
72.5,1.02,1.04,1.05,1.02,0.3377,0.3314,Call
75,0.65,0.67,0.69,0.63,0.3377,0.3370,Call
77.5,0.42,0.43,0.44,0.42,0.3377,0.3391,Call
80,0.28,0.29,0.3,0.29,0.3377,0.3503,Call
85,0.14,0.15,0.15,0.15,0.3377,0.3725,Call
90,0.08,0.08,0.09,0.08,0.3377,0.3961,Call
95,0.05,0.06,0.06,0.05,0.3377,0.4222,Call
100,0.03,0.04,0.04,0.04,0.3377,0.4574,Call
105,0.02,0.03,0.03,0.02,0.3377,0.4751,Call
25,0,0.01,0.02,0.03,0.3377,0.3377,Put
27.5,0,0.02,0.03,0.02,0.3377,0.3377,Put
30,0.01,0.02,0.03,0.03,0.3377,0.7653,Put
32.5,0.02,0.03,0.03,0.03,0.3377,0.7089,Put
35,0.03,0.04,0.04,0.06,0.3377,0.6649,Put
37.5,0.04,0.05,0.06,0.05,0.3377,0.6251,Put
40,0.06,0.07,0.07,0.06,0.3377,0.5730,Put
42.5,0.08,0.08,0.09,0.15,0.3377,0.5361,Put
45,0.11,0.11,0.12,0.1,0.3377,0.4965,Put
47.5,0.15,0.16,0.16,0.16,0.3377,0.4600,Put
50,0.22,0.23,0.23,0.23,0.3377,0.4269,Put
52.5,0.32,0.33,0.34,0.34,0.3377,0.3967,Put
55,0.52,0.53,0.54,0.53,0.3377,0.3726,Put
57.5,0.84,0.86,0.87,0.9,0.3377,0.3548,Put
60,1.38,1.39,1.4,1.39,0.3377,0.3434,Put
62.5,2.16,2.18,2.19,2.17,0.3377,0.3336,Put
65,3.25,3.28,3.3,3.3,0.3377,0.3311,Put
67.5,4.6,4.68,4.75,4.63,0.3377,0.3186,Put
70,6.3,6.38,6.45,5.88,0.3377,0.3191,Put
72.5,8.3,8.38,8.45,7.87,0.3377,0.3214,Put
75,10.5,10.6,10.7,10.1,0.3377,0.3318,Put
77.5,12.75,12.85,12.95,13.25,0.3377,0.3116,Put
80,15.15,15.3,15.45,16.03,0.3377,0.3907,Put
85,20.15,20.3,20.45,17.8,0.3377,0.4732,Put
90,25.15,25.3,25.45,22.95,0.3377,0.5485,Put
95,30.15,30.28,30.4,27.25,0.3377,0.5965,Put
100,35.15,35.28,35.4,34.7,0.3377,0.6600,Put
105,40.15,40.3,40.45,0,0.3377,0.7440,Put
