id,ticker,name,sector,probability,up,down
56,AZO,AutoZone,Consumer Discretionary,0.5458,1.011,0.9894
35,AWK,American Water Works,Utilities,0.5506,1.009,0.9899
425,SYF,Synchrony Financial,Financials,0.5259,1.016,0.9824
429,TROW,T. Rowe Price,Financials,0.5179,1.013,0.9865
308,MDT,Medtronic,Health Care,0.5179,1.01,0.9896
67,BIO,Bio-Rad Laboratories,Health Care,0.5339,1.013,0.9862
215,GIS,General Mills,Consumer Staples,0.5371,1.009,0.9903
319,TAP,Molson Coors Beverage Company,Consumer Staples,0.5179,1.013,0.9861
251,IFF,International Flavors & Fragrances,Materials,0.4948,1.012,0.9878
112,CSCO,Cisco Systems,Information Technology,0.5179,1.011,0.9892
185,EXPE,Expedia Group,Consumer Discretionary,0.5171,1.017,0.9817
348,ORLY,O'Reilly Automotive,Consumer Discretionary,0.5562,1.01,0.9893
420,SBUX,Starbucks,Consumer Discretionary,0.5267,1.011,0.9886
404,RCL,Royal Caribbean Group,Consumer Discretionary,0.49,1.024,0.9772
365,PEP,PepsiCo,Consumer Staples,0.5402,1.007,0.9923
417,SO,Southern Company,Utilities,0.541,1.009,0.9907
333,NWS,News Corp (Class B),Communication Services,0.5147,1.013,0.9867
86,COF,Capital One Financial,Financials,0.5187,1.016,0.9831
168,EW,Edwards Lifesciences,Health Care,0.5363,1.013,0.9864
431,TPR,Tapestry,Consumer Discretionary,0.51,1.019,0.9805
207,BEN,Franklin Resources,Financials,0.498,1.015,0.9847
263,SJM,JM Smucker,Consumer Staples,0.5323,1.01,0.9895
422,STE,Steris,Health Care,0.5434,1.011,0.989
242,IEX,IDEX Corporation,Industrials,0.5347,1.01,0.9894
183,ES,Eversource Energy,Utilities,0.5386,1.009,0.9903
376,PFG,Principal Financial Group,Financials,0.5227,1.014,0.9851
479,WRB,W. R. Berkley Corporation,Financials,0.5514,1.01,0.9895
224,HAS,Hasbro,Consumer Discretionary,0.5179,1.013,0.9863
465,UNH,UnitedHealth Group,Health Care,0.5155,1.011,0.9897
177,EQR,Equity Residential,Real Estate,0.5331,1.01,0.9887
430,TTWO,Take-Two Interactive,Communication Services,0.5124,1.015,0.985
12,AES,AES Corp,Utilities,0.549,1.013,0.9861
75,BXP,Boston Properties,Real Estate,0.5036,1.012,0.9871
111,CTAS,Cintas Corporation,Industrials,0.5466,1.011,0.9886
23,ALL,Allstate Corp,Financials,0.5426,1.01,0.9893
264,JNJ,Johnson & Johnson,Health Care,0.5155,1.008,0.9922
41,ADI,Analog Devices,Information Technology,0.5363,1.013,0.9863
68,TECH,Bio-Techne,Health Care,0.5378,1.013,0.9864
82,CHRW,C. H. Robinson,Industrials,0.5418,1.011,0.9877
125,COP,ConocoPhillips,Energy,0.5076,1.018,0.9836
77,BMY,Bristol Myers Squibb,Health Care,0.5052,1.01,0.9901
172,ENPH,Enphase Energy,Information Technology,0.5458,1.034,0.9694
339,NTRS,Northern Trust,Financials,0.5012,1.013,0.9869
71,BK,BNY Mellon,Financials,0.5163,1.012,0.9872
66,BBY,Best Buy,Consumer Discretionary,0.5331,1.015,0.9833
103,SCHW,Charles Schwab Corporation,Financials,0.5171,1.015,0.9853
280,LRCX,Lam Research,Information Technology,0.5052,1.02,0.9819
208,FCX,Freeport-McMoRan,Materials,0.51,1.023,0.978
336,NKE,Nike,Consumer Discretionary,0.5371,1.012,0.987
211,IT,Gartner,Information Technology,0.5386,1.013,0.9874
26,MO,Altria Group,Consumer Staples,0.5402,1.01,0.988
343,NRG,NRG Energy,Utilities,0.5131,1.014,0.9863
358,PH,Parker-Hannifin,Industrials,0.5155,1.014,0.9861
366,PKI,PerkinElmer,Health Care,0.5402,1.013,0.9862
127,STZ,Constellation Brands,Consumer Staples,0.5235,1.011,0.9886
116,CLX,Clorox,Consumer Staples,0.5211,1.01,0.9892
414,SPG,Simon Property Group,Real Estate,0.5004,1.016,0.9842
468,VTR,Ventas,Real Estate,0.5163,1.014,0.9851
230,HLT,Hilton Worldwide,Consumer Discretionary,0.5259,1.014,0.9855
279,LH,LabCorp,Health Care,0.5243,1.011,0.9884
79,BR,Broadridge Financial Solutions,Information Technology,0.5331,1.01,0.9895
195,FITB,Fifth Third Bancorp,Financials,0.5203,1.015,0.9843
374,PPG,PPG Industries,Materials,0.5179,1.012,0.9877
141,DE,Deere & Co.,Industrials,0.5315,1.014,0.9861
450,TDG,TransDigm Group,Industrials,0.5355,1.015,0.9849
477,VNO,Vornado Realty Trust,Real Estate,0.4797,1.015,0.985
388,PWR,Quanta Services,Industrials,0.5283,1.014,0.9865
135,CMI,Cummins,Industrials,0.5267,1.012,0.9876
389,DGX,Quest Diagnostics,Health Care,0.5211,1.01,0.9896
485,WAT,Waters Corporation,Health Care,0.553,1.011,0.9874
138,DHR,Danaher Corporation,Health Care,0.5355,1.011,0.9895
222,HAL,Halliburton,Energy,0.5116,1.021,0.9783
502,ZBRA,Zebra Technologies,Information Technology,0.5347,1.015,0.9843
107,CB,Chubb,Financials,0.5371,1.01,0.9894
276,KHC,Kraft Heinz,Consumer Staples,0.5076,1.011,0.9883
46,AAPL,Apple,Information Technology,0.5418,1.013,0.9872
295,MTB,M&T Bank,Financials,0.5139,1.014,0.9857
57,AVB,AvalonBay Communities,Real Estate,0.5283,1.01,0.9892
381,PTC,PTC,Information Technology,0.5466,1.014,0.9844
152,DG,Dollar General,Consumer Discretionary,0.5442,1.01,0.9902
247,INCY,Incyte,Health Care,0.5124,1.014,0.9855
170,LLY,Eli Lilly & Co,Health Care,0.549,1.011,0.9891
397,RSG,Republic Services,Industrials,0.5474,1.008,0.992
129,GLW,Corning,Information Technology,0.5155,1.013,0.9868
238,HUM,Humana,Health Care,0.5339,1.012,0.988
250,ICE,Intercontinental Exchange,Financials,0.5331,1.009,0.9905
448,TSCO,Tractor Supply Company,Consumer Discretionary,0.5474,1.012,0.9873
78,AVGO,Broadcom,Information Technology,0.5331,1.014,0.9855
438,TXN,Texas Instruments,Information Technology,0.5235,1.012,0.9877
133,CCI,Crown Castle,Real Estate,0.5283,1.01,0.9892
258,IQV,IQVIA,Health Care,0.5283,1.013,0.9871
436,TER,Teradyne,Information Technology,0.5291,1.017,0.9822
72,BA,Boeing,Industrials,0.5004,1.019,0.9816
184,EXC,Exelon,Utilities,0.5378,1.009,0.9896
252,IP,International Paper,Materials,0.5155,1.013,0.9859
1,MMM,3M,Industrials,0.5163,1.01,0.9887
137,DHI,D. R. Horton,Consumer Discretionary,0.5171,1.016,0.9845
154,D,Dominion Energy,Utilities,0.5195,1.009,0.9905
22,LNT,Alliant Energy,Utilities,0.5275,1.009,0.9906
313,MCHP,Microchip Technology,Information Technology,0.5179,1.017,0.9829
435,TFX,Teleflex,Health Care,0.5323,1.012,0.9861
427,SYY,Sysco,Consumer Staples,0.5227,1.013,0.9872
454,TYL,Tyler Technologies,Information Technology,0.5538,1.012,0.9871
391,RJF,Raymond James Financial,Financials,0.5243,1.014,0.9861
237,HPQ,HP,Information Technology,0.5458,1.014,0.9845
206,FOX,Fox Corporation (Class B),Communication Services,0.4996,1.013,0.9874
288,LYV,Live Nation Entertainment,Communication Services,0.5187,1.018,0.9826
270,KEY,KeyCorp,Financials,0.5243,1.015,0.9838
299,MAR,Marriott International,Consumer Discretionary,0.5251,1.015,0.984
33,AIG,American International Group,Financials,0.5315,1.014,0.9844
345,NVDA,Nvidia,Information Technology,0.5339,1.02,0.9799
500,XYL,Xylem,Industrials,0.5259,1.012,0.9875
40,APH,Amphenol,Information Technology,0.5458,1.01,0.9887
400,ROK,Rockwell Automation,Industrials,0.5323,1.012,0.9867
113,C,Citigroup,Financials,0.5012,1.014,0.9856
231,HOLX,Hologic,Health Care,0.5347,1.012,0.9877
432,TGT,Target Corporation,Consumer Discretionary,0.5203,1.013,0.988
245,ITW,Illinois Tool Works,Industrials,0.5179,1.011,0.9894
254,INTU,Intuit,Information Technology,0.5442,1.014,0.9856
283,LEG,Leggett & Platt,Consumer Discretionary,0.5155,1.014,0.9849
165,EBAY,eBay,Consumer Discretionary,0.506,1.013,0.9868
309,MRK,Merck & Co.,Health Care,0.5243,1.009,0.991
142,DAL,Delta Air Lines,Industrials,0.4884,1.018,0.9825
416,SNA,Snap-on,Industrials,0.5251,1.012,0.9873
482,WBA,Walgreens Boots Alliance,Consumer Staples,0.5139,1.012,0.9865
114,CFG,Citizens Financial Group,Financials,0.5171,1.016,0.9834
55,ADP,Automatic Data Processing,Information Technology,0.549,1.01,0.9896
265,JCI,Johnson Controls,Industrials,0.5378,1.012,0.9877
325,MSI,Motorola Solutions,Information Technology,0.5402,1.011,0.989
136,CVS,CVS Health,Health Care,0.5147,1.012,0.9883
117,CME,CME Group,Financials,0.5179,1.01,0.9896
45,APA,APA Corporation,Energy,0.5155,1.027,0.9735
145,DXCM,DexCom,Health Care,0.5434,1.02,0.9811
418,LUV,Southwest Airlines,Industrials,0.4797,1.016,0.9849
444,TRV,The Travelers Companies,Financials,0.549,1.009,0.9893
282,LVS,Las Vegas Sands,Consumer Discretionary,0.4988,1.018,0.9818
275,KLAC,KLA Corporation,Information Technology,0.5347,1.017,0.9831
337,NI,NiSource,Utilities,0.5426,1.009,0.9896
342,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.4916,1.026,0.9743
393,O,Realty Income Corporation,Real Estate,0.5426,1.01,0.9892
457,UDR,UDR,Real Estate,0.5363,1.01,0.9888
460,UA,Under Armour (Class C),Consumer Discretionary,0.5163,1.02,0.9786
363,PNR,Pentair,Industrials,0.5363,1.012,0.986
378,PGR,Progressive Corporation,Financials,0.5466,1.01,0.9899
351,OMC,Omnicom Group,Communication Services,0.5243,1.012,0.9873
158,DTE,DTE Energy,Utilities,0.5299,1.009,0.9905
218,GILD,Gilead Sciences,Health Care,0.5004,1.011,0.9898
176,EQIX,Equinix,Real Estate,0.5147,1.012,0.9883
437,TSLA,Tesla,Consumer Discretionary,0.5283,1.027,0.9744
148,DFS,Discover Financial Services,Financials,0.5291,1.016,0.9829
92,CAT,Caterpillar,Industrials,0.5163,1.014,0.9864
36,AMP,Ameriprise Financial,Financials,0.5339,1.014,0.9853
469,VRSN,Verisign,Information Technology,0.5474,1.011,0.9886
451,TRMB,Trimble,Information Technology,0.5171,1.015,0.9852
118,CMS,CMS Energy,Utilities,0.5323,1.009,0.991
162,DXC,DXC Technology,Information Technology,0.5076,1.019,0.9793
494,WHR,Whirlpool Corporation,Consumer Discretionary,0.51,1.015,0.9844
84,CZR,Caesars Entertainment,Consumer Discretionary,0.5299,1.025,0.9772
7,ATVI,Activision Blizzard,Communication Services,0.5036,1.013,0.9877
203,FTV,Fortive,Industrials,0.5227,1.011,0.9879
25,GOOG,Alphabet (Class C),Communication Services,0.5235,1.012,0.9882
95,CDW,CDW,Information Technology,0.5378,1.012,0.9877
292,LOW,Lowe's,Consumer Discretionary,0.549,1.012,0.9868
353,ORCL,Oracle,Information Technology,0.5267,1.01,0.9897
232,HD,Home Depot,Consumer Discretionary,0.553,1.01,0.9888
93,CBOE,Cboe Global Markets,Financials,0.5307,1.01,0.9885
296,MRO,Marathon Oil,Energy,0.5012,1.024,0.9777
304,MTCH,Match Group,Communication Services,0.4924,1.024,0.9795
18,ALB,Albemarle Corporation,Materials,0.5259,1.019,0.9802
240,HII,Huntington Ingalls Industries,Industrials,0.5195,1.012,0.9872
476,V,Visa,Information Technology,0.5315,1.011,0.989
147,DLR,Digital Realty Trust,Real Estate,0.5243,1.011,0.9878
16,AKAM,Akamai Technologies,Information Technology,0.5299,1.011,0.9882
370,PNW,Pinnacle West Capital,Utilities,0.5275,1.009,0.9896
415,SWKS,Skyworks Solutions,Information Technology,0.5084,1.016,0.9837
349,OXY,Occidental Petroleum,Energy,0.5076,1.022,0.9779
19,ARE,Alexandria Real Estate Equities,Real Estate,0.5227,1.01,0.9899
44,AON,Aon,Financials,0.5538,1.009,0.9902
266,JPM,JPMorgan Chase,Financials,0.5219,1.012,0.9878
217,GPC,Genuine Parts,Consumer Discretionary,0.5323,1.011,0.9889
31,AEP,American Electric Power,Utilities,0.5426,1.008,0.9906
146,FANG,Diamondback Energy,Energy,0.5108,1.024,0.9768
368,PM,Philip Morris International,Consumer Staples,0.5458,1.01,0.9887
489,WST,West Pharmaceutical Services,Health Care,0.5474,1.012,0.9868
74,BWA,BorgWarner,Consumer Discretionary,0.4996,1.016,0.9838
61,BAC,Bank of America,Financials,0.5211,1.013,0.9862
29,AEE,Ameren Corp,Utilities,0.5434,1.009,0.9907
412,NOW,ServiceNow,Information Technology,0.5371,1.017,0.9826
390,RL,Ralph Lauren Corporation,Consumer Discretionary,0.5179,1.017,0.9822
380,PRU,Prudential Financial,Financials,0.5203,1.014,0.9854
212,GNRC,Generac Holdings,Industrials,0.5283,1.019,0.9811
303,MA,Mastercard,Information Technology,0.5434,1.012,0.9871
424,SIVB,SVB Financial,Financials,0.5227,1.019,0.9798
228,HES,Hess Corporation,Energy,0.51,1.021,0.9805
159,DUK,Duke Energy,Utilities,0.5299,1.008,0.9911
193,FDX,FedEx,Industrials,0.506,1.014,0.9854
463,UPS,United Parcel Service,Industrials,0.5259,1.011,0.9884
101,CF,CF Industries,Materials,0.5163,1.019,0.9819
360,PAYC,Paycom,Information Technology,0.5618,1.018,0.98
105,CVX,Chevron Corporation,Energy,0.5084,1.013,0.9874
223,HBI,Hanesbrands,Consumer Discretionary,0.4861,1.018,0.9819
399,RHI,Robert Half International,Industrials,0.5163,1.014,0.9863
285,LEN,Lennar,Consumer Discretionary,0.5171,1.016,0.9836
17,ALK,Alaska Air Group,Industrials,0.4837,1.018,0.9826
421,STT,State Street Corporation,Financials,0.5092,1.015,0.9847
271,KEYS,Keysight Technologies,Information Technology,0.545,1.013,0.9872
426,SNPS,Synopsys,Information Technology,0.5522,1.013,0.9865
166,ECL,Ecolab,Materials,0.5187,1.011,0.9891
198,FISV,Fiserv,Information Technology,0.5363,1.011,0.988
214,GE,General Electric,Industrials,0.4845,1.018,0.9826
331,NEM,Newmont,Materials,0.5004,1.014,0.9872
80,BRO,Brown & Brown,Financials,0.557,1.009,0.9901
462,UAL,United Airlines,Industrials,0.5084,1.021,0.9787
89,CCL,Carnival Corporation,Consumer Discretionary,0.49,1.024,0.975
51,AIZ,Assurant,Financials,0.5291,1.01,0.989
274,KMI,Kinder Morgan,Energy,0.5092,1.012,0.9879
246,ILMN,Illumina,Health Care,0.5028,1.016,0.9837
490,WDC,Western Digital,Information Technology,0.4948,1.02,0.9793
143,XRAY,Dentsply Sirona,Health Care,0.5012,1.013,0.9864
48,APTV,Aptiv,Consumer Discretionary,0.5179,1.017,0.9821
15,APD,Air Products & Chemicals,Materials,0.5323,1.01,0.9896
493,WY,Weyerhaeuser,Real Estate,0.51,1.013,0.9863
330,NWL,Newell Brands,Consumer Discretionary,0.4988,1.017,0.9828
97,CNC,Centene Corporation,Health Care,0.5108,1.014,0.9861
284,LDOS,Leidos,Industrials,0.5506,1.011,0.9882
134,CSX,CSX,Industrials,0.5235,1.011,0.9885
402,ROP,Roper Technologies,Industrials,0.5371,1.01,0.9897
413,SHW,Sherwin-Williams,Materials,0.5283,1.011,0.9888
110,CINF,Cincinnati Financial,Financials,0.5434,1.011,0.9873
501,YUM,Yum! Brands,Consumer Discretionary,0.5339,1.009,0.9903
30,AAL,American Airlines Group,Industrials,0.4733,1.024,0.9771
419,SWK,Stanley Black & Decker,Industrials,0.5052,1.015,0.9842
234,HRL,Hormel,Consumer Staples,0.5402,1.008,0.991
6,ACN,Accenture,Information Technology,0.5474,1.01,0.9888
473,VFC,VF Corporation,Consumer Discretionary,0.5124,1.014,0.9842
219,GPN,Global Payments,Information Technology,0.5251,1.014,0.9854
367,PFE,Pfizer,Health Care,0.5044,1.011,0.99
272,KMB,Kimberly-Clark,Consumer Staples,0.5036,1.009,0.9914
164,ETN,Eaton Corporation,Industrials,0.5315,1.012,0.988
153,DLTR,Dollar Tree,Consumer Discretionary,0.5251,1.013,0.987
186,EXPD,Expeditors,Industrials,0.5227,1.011,0.9894
253,IPG,Interpublic Group,Communication Services,0.5179,1.014,0.986
470,VRSK,Verisk Analytics,Industrials,0.5498,1.009,0.9899
64,BDX,Becton Dickinson,Health Care,0.5251,1.009,0.9901
267,JNPR,Juniper Networks,Information Technology,0.5315,1.011,0.9879
394,REG,Regency Centers,Real Estate,0.5147,1.013,0.987
139,DRI,Darden Restaurants,Consumer Discretionary,0.5092,1.015,0.9854
13,AFL,Aflac,Financials,0.5458,1.01,0.989
359,PAYX,Paychex,Information Technology,0.5347,1.01,0.9897
4,ABBV,AbbVie,Health Care,0.5259,1.011,0.9886
405,SPGI,S&P Global,Financials,0.5291,1.011,0.9891
104,CHTR,Charter Communications,Communication Services,0.5235,1.012,0.9874
316,MAA,Mid-America Apartments,Real Estate,0.5594,1.009,0.9893
456,USB,U.S. Bancorp,Financials,0.5155,1.012,0.9875
328,NTAP,NetApp,Information Technology,0.5291,1.014,0.9844
179,EL,Estée Lauder Companies,Consumer Staples,0.5283,1.013,0.9873
52,T,AT&T,Communication Services,0.4964,1.009,0.9898
369,PSX,Phillips 66,Energy,0.5203,1.015,0.9838
410,SEE,Sealed Air,Materials,0.5251,1.012,0.9868
356,PCAR,Paccar,Industrials,0.5139,1.011,0.9889
486,WEC,WEC Energy Group,Utilities,0.5315,1.009,0.9907
300,MMC,Marsh & McLennan,Financials,0.5466,1.008,0.9912
171,EMR,Emerson Electric Company,Industrials,0.5243,1.012,0.9879
11,AMD,Advanced Micro Devices,Information Technology,0.5331,1.022,0.9785
302,MAS,Masco,Industrials,0.5131,1.012,0.9875
478,VMC,Vulcan Materials,Materials,0.4948,1.014,0.9873
487,WFC,Wells Fargo,Financials,0.5227,1.013,0.9854
85,CPB,Campbell Soup,Consumer Staples,0.5259,1.01,0.9891
119,KO,Coca-Cola Company,Consumer Staples,0.5442,1.008,0.9917
39,AMGN,Amgen,Health Care,0.5187,1.01,0.9902
406,CRM,Salesforce,Information Technology,0.5323,1.014,0.9847
216,GM,General Motors,Consumer Discretionary,0.5084,1.017,0.9827
495,WMB,Williams Companies,Energy,0.5028,1.013,0.9871
126,ED,Consolidated Edison,Utilities,0.5458,1.008,0.9904
108,CHD,Church & Dwight,Consumer Staples,0.5434,1.009,0.9904
441,HIG,The Hartford,Financials,0.5275,1.012,0.9877
443,MOS,The Mosaic Company,Materials,0.5108,1.021,0.9797
382,PEG,Public Service Enterprise Group,Utilities,0.5195,1.009,0.9904
156,DOV,Dover Corporation,Industrials,0.5291,1.011,0.9886
439,TXT,Textron,Industrials,0.5124,1.015,0.9852
124,CAG,Conagra Brands,Consumer Staples,0.5155,1.011,0.9889
10,AAP,Advance Auto Parts,Consumer Discretionary,0.5139,1.013,0.9869
2,AOS,A. O. Smith,Industrials,0.5068,1.012,0.9875
261,JKHY,Jack Henry & Associates,Information Technology,0.5562,1.009,0.9893
27,AMZN,Amazon,Consumer Discretionary,0.5235,1.014,0.9859
307,MCK,McKesson Corporation,Health Care,0.5522,1.012,0.987
144,DVN,Devon Energy,Energy,0.5068,1.024,0.9767
273,KIM,Kimco Realty,Real Estate,0.5219,1.015,0.9847
257,IPGP,IPG Photonics,Information Technology,0.5116,1.017,0.981
352,OKE,Oneok,Energy,0.5522,1.015,0.9825
200,FMC,FMC Corporation,Materials,0.5219,1.013,0.9869
