id,ticker,name,sector,probability,up,down
56,AZO,AutoZone,Consumer Discretionary,0.5048,1.011,0.9893
35,AWK,American Water Works,Utilities,0.5065,1.009,0.9909
425,SYF,Synchrony Financial,Financials,0.501,1.016,0.984
429,TROW,T. Rowe Price,Financials,0.503,1.013,0.9872
60,BLL,Ball Corp,Materials,0.5049,1.011,0.9894
308,MDT,Medtronic,Health Care,0.5059,1.01,0.9903
67,BIO,Bio-Rad Laboratories,Health Care,0.5029,1.013,0.987
215,GIS,General Mills,Consumer Staples,0.5067,1.009,0.991
319,TAP,Molson Coors Beverage Company,Consumer Staples,0.5033,1.013,0.9876
73,BKNG,Booking Holdings,Consumer Discretionary,0.5021,1.014,0.9858
251,IFF,International Flavors & Fragrances,Materials,0.5036,1.012,0.988
115,CTXS,Citrix Systems,Information Technology,0.5065,1.009,0.9909
112,CSCO,Cisco Systems,Information Technology,0.5051,1.011,0.9896
185,EXPE,Expedia Group,Consumer Discretionary,0.5004,1.017,0.983
348,ORLY,O'Reilly Automotive,Consumer Discretionary,0.5052,1.01,0.9897
420,SBUX,Starbucks,Consumer Discretionary,0.5043,1.011,0.9888
404,RCL,Royal Caribbean Group,Consumer Discretionary,0.4976,1.024,0.9769
365,PEP,PepsiCo,Consumer Staples,0.5093,1.007,0.9928
417,SO,Southern Company,Utilities,0.5072,1.009,0.9914
333,NWS,News Corp (Class B),Communication Services,0.503,1.013,0.9871
86,COF,Capital One Financial,Financials,0.501,1.016,0.9841
168,EW,Edwards Lifesciences,Health Care,0.503,1.013,0.9871
364,PBCT,People's United Financial,Financials,0.5023,1.014,0.9862
207,BEN,Franklin Resources,Financials,0.5016,1.015,0.9851
263,SJM,JM Smucker,Consumer Staples,0.5059,1.01,0.9903
422,STE,Steris,Health Care,0.505,1.011,0.9895
431,TPR,Tapestry,Consumer Discretionary,0.4994,1.019,0.981
242,IEX,IDEX Corporation,Industrials,0.5054,1.01,0.9899
183,ES,Eversource Energy,Utilities,0.5068,1.009,0.9911
376,PFG,Principal Financial Group,Financials,0.5021,1.014,0.9859
479,WRB,W. R. Berkley Corporation,Financials,0.5057,1.01,0.9901
224,HAS,Hasbro,Consumer Discretionary,0.5033,1.013,0.9876
465,UNH,UnitedHealth Group,Health Care,0.5044,1.011,0.9889
177,EQR,Equity Residential,Real Estate,0.5056,1.01,0.9901
430,TTWO,Take-Two Interactive,Communication Services,0.502,1.015,0.9857
12,AES,AES Corp,Utilities,0.5029,1.013,0.987
75,BXP,Boston Properties,Real Estate,0.5038,1.012,0.9881
111,CTAS,Cintas Corporation,Industrials,0.5044,1.011,0.9889
23,ALL,Allstate Corp,Financials,0.506,1.01,0.9905
264,JNJ,Johnson & Johnson,Health Care,0.5084,1.008,0.9922
41,ADI,Analog Devices,Information Technology,0.503,1.013,0.9871
68,TECH,Bio-Techne,Health Care,0.5028,1.013,0.9868
82,CHRW,C. H. Robinson,Industrials,0.505,1.011,0.9895
125,COP,ConocoPhillips,Energy,0.5002,1.018,0.9826
77,BMY,Bristol Myers Squibb,Health Care,0.5055,1.01,0.99
172,ENPH,Enphase Energy,Information Technology,0.494,1.034,0.967
339,NTRS,Northern Trust,Financials,0.5029,1.013,0.987
71,BK,BNY Mellon,Financials,0.5037,1.012,0.9881
66,BBY,Best Buy,Consumer Discretionary,0.5015,1.015,0.9849
103,SCHW,Charles Schwab Corporation,Financials,0.5018,1.015,0.9853
280,LRCX,Lam Research,Information Technology,0.4993,1.02,0.9807
208,FCX,Freeport-McMoRan,Materials,0.4978,1.023,0.9774
336,NKE,Nike,Consumer Discretionary,0.5035,1.012,0.9877
211,IT,Gartner,Information Technology,0.5033,1.013,0.9876
26,MO,Altria Group,Consumer Staples,0.5059,1.01,0.9903
343,NRG,NRG Energy,Utilities,0.5026,1.014,0.9867
358,PH,Parker-Hannifin,Industrials,0.5023,1.014,0.9862
366,PKI,PerkinElmer,Health Care,0.503,1.013,0.9872
127,STZ,Constellation Brands,Consumer Staples,0.5049,1.011,0.9894
116,CLX,Clorox,Consumer Staples,0.5055,1.01,0.99
100,CERN,Cerner,Health Care,0.5062,1.009,0.9907
414,SPG,Simon Property Group,Real Estate,0.5012,1.016,0.9843
468,VTR,Ventas,Real Estate,0.5022,1.014,0.986
230,HLT,Hilton Worldwide,Consumer Discretionary,0.5022,1.014,0.986
279,LH,LabCorp,Health Care,0.5043,1.011,0.9888
79,BR,Broadridge Financial Solutions,Information Technology,0.5056,1.01,0.9901
195,FITB,Fifth Third Bancorp,Financials,0.5016,1.015,0.9851
374,PPG,PPG Industries,Materials,0.504,1.012,0.9884
141,DE,Deere & Co.,Industrials,0.5023,1.014,0.9861
450,TDG,TransDigm Group,Industrials,0.5018,1.015,0.9854
477,VNO,Vornado Realty Trust,Real Estate,0.5019,1.015,0.9856
388,PWR,Quanta Services,Industrials,0.5021,1.014,0.9859
135,CMI,Cummins,Industrials,0.5039,1.012,0.9883
389,DGX,Quest Diagnostics,Health Care,0.5052,1.01,0.9897
485,WAT,Waters Corporation,Health Care,0.5044,1.011,0.9889
138,DHR,Danaher Corporation,Health Care,0.5047,1.011,0.9892
222,HAL,Halliburton,Energy,0.4985,1.021,0.9791
502,ZBRA,Zebra Technologies,Information Technology,0.5014,1.015,0.9848
107,CB,Chubb,Financials,0.5056,1.01,0.9901
276,KHC,Kraft Heinz,Consumer Staples,0.505,1.011,0.9895
46,AAPL,Apple,Information Technology,0.5032,1.013,0.9874
295,MTB,M&T Bank,Financials,0.5026,1.014,0.9865
57,AVB,AvalonBay Communities,Real Estate,0.5058,1.01,0.9903
381,PTC,PTC,Information Technology,0.5021,1.014,0.9858
152,DG,Dollar General,Consumer Discretionary,0.5058,1.01,0.9902
247,INCY,Incyte,Health Care,0.5024,1.014,0.9864
170,LLY,Eli Lilly & Co,Health Care,0.5044,1.011,0.9888
397,RSG,Republic Services,Industrials,0.5085,1.008,0.9923
129,GLW,Corning,Information Technology,0.5032,1.013,0.9875
238,HUM,Humana,Health Care,0.5039,1.012,0.9883
250,ICE,Intercontinental Exchange,Financials,0.5067,1.009,0.9911
448,TSCO,Tractor Supply Company,Consumer Discretionary,0.5035,1.012,0.9878
78,AVGO,Broadcom,Information Technology,0.5022,1.014,0.986
438,TXN,Texas Instruments,Information Technology,0.5037,1.012,0.988
133,CCI,Crown Castle,Real Estate,0.5054,1.01,0.9899
258,IQV,IQVIA,Health Care,0.503,1.013,0.9872
436,TER,Teradyne,Information Technology,0.5003,1.017,0.9828
72,BA,Boeing,Industrials,0.4998,1.019,0.9818
184,EXC,Exelon,Utilities,0.5063,1.009,0.9907
252,IP,International Paper,Materials,0.5032,1.013,0.9875
1,MMM,3M,Industrials,0.5059,1.01,0.9904
137,DHI,D. R. Horton,Consumer Discretionary,0.5012,1.016,0.9845
154,D,Dominion Energy,Utilities,0.5072,1.009,0.9914
22,LNT,Alliant Energy,Utilities,0.5068,1.009,0.9911
313,MCHP,Microchip Technology,Information Technology,0.5005,1.017,0.9832
435,TFX,Teleflex,Health Care,0.5034,1.012,0.9877
427,SYY,Sysco,Consumer Staples,0.5033,1.013,0.9876
454,TYL,Tyler Technologies,Information Technology,0.5042,1.012,0.9886
391,RJF,Raymond James Financial,Financials,0.5024,1.014,0.9863
237,HPQ,HP,Information Technology,0.5025,1.014,0.9865
206,FOX,Fox Corporation (Class B),Communication Services,0.5033,1.013,0.9875
288,LYV,Live Nation Entertainment,Communication Services,0.5003,1.018,0.9827
270,KEY,KeyCorp,Financials,0.5017,1.015,0.9852
299,MAR,Marriott International,Consumer Discretionary,0.5016,1.015,0.985
33,AIG,American International Group,Financials,0.5021,1.014,0.9859
345,NVDA,Nvidia,Information Technology,0.4992,1.02,0.9807
500,XYL,Xylem,Industrials,0.5035,1.012,0.9879
40,APH,Amphenol,Information Technology,0.5052,1.01,0.9897
400,ROK,Rockwell Automation,Industrials,0.5035,1.012,0.9878
113,C,Citigroup,Financials,0.5023,1.014,0.9862
231,HOLX,Hologic,Health Care,0.5039,1.012,0.9884
432,TGT,Target Corporation,Consumer Discretionary,0.5033,1.013,0.9875
245,ITW,Illinois Tool Works,Industrials,0.5051,1.011,0.9896
254,INTU,Intuit,Information Technology,0.5025,1.014,0.9865
283,LEG,Leggett & Platt,Consumer Discretionary,0.5023,1.014,0.9862
165,EBAY,eBay,Consumer Discretionary,0.5028,1.013,0.9868
309,MRK,Merck & Co.,Health Care,0.5064,1.009,0.9908
142,DAL,Delta Air Lines,Industrials,0.4999,1.018,0.982
416,SNA,Snap-on,Industrials,0.5037,1.012,0.988
482,WBA,Walgreens Boots Alliance,Consumer Staples,0.5038,1.012,0.9882
5,ABMD,Abiomed,Health Care,0.5,1.018,0.9822
114,CFG,Citizens Financial Group,Financials,0.5012,1.016,0.9844
55,ADP,Automatic Data Processing,Information Technology,0.5058,1.01,0.9903
265,JCI,Johnson Controls,Industrials,0.5041,1.012,0.9885
325,MSI,Motorola Solutions,Information Technology,0.5045,1.011,0.989
136,CVS,CVS Health,Health Care,0.504,1.012,0.9884
